Source_ID,Source_Name,Target_ID,Target_Name,Relationship_Type,Evidence_Ref,Notes
RICO-016,DALLAS EVIDENCE DESTRUCTION NODE,EV-040,EV-040,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-016 and EV-040
RICO-016,DALLAS EVIDENCE DESTRUCTION NODE,GOV-001,GOV-001,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-016 and GOV-001
RICO-016,DALLAS EVIDENCE DESTRUCTION NODE,GOV-003,GOV-003,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-016 and GOV-003
RICO-017,IRVINE SURVEILLANCE LOOPHOLE,EV-041,EV-041,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-017 and EV-041
RICO-017,IRVINE SURVEILLANCE LOOPHOLE,GOV-001,GOV-001,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-017 and GOV-001
RICO-017,IRVINE SURVEILLANCE LOOPHOLE,GOV-003,GOV-003,ASSOCIATED_WITH,News Reports,Bidirectional cross-reference between RICO-017 and GOV-003
RICO-018,PHOENIX DATABASE MISUSE NODE,EV-042,EV-042,ASSOCIATED_WITH,Associated Press,Bidirectional cross-reference between RICO-018 and EV-042
RICO-018,PHOENIX DATABASE MISUSE NODE,GOV-001,GOV-001,ASSOCIATED_WITH,Associated Press,Bidirectional cross-reference between RICO-018 and GOV-001
RICO-018,PHOENIX DATABASE MISUSE NODE,GOV-003,GOV-003,ASSOCIATED_WITH,Associated Press,Bidirectional cross-reference between RICO-018 and GOV-003
RICO-019,BLUELEAKS FUSION NODE,EV-043,EV-043,ASSOCIATED_WITH,DDoSecrets,Bidirectional cross-reference between RICO-019 and EV-043
RICO-019,BLUELEAKS FUSION NODE,GOV-001,GOV-001,ASSOCIATED_WITH,DDoSecrets,Bidirectional cross-reference between RICO-019 and GOV-001
RICO-019,BLUELEAKS FUSION NODE,GOV-003,GOV-003,ASSOCIATED_WITH,DDoSecrets,Bidirectional cross-reference between RICO-019 and GOV-003
RICO-020,MUNICIPAL CYBER NEGLIGENCE NODE,EV-068,EV-068,ASSOCIATED_WITH,Katana Recon Scan,Bidirectional cross-reference between RICO-020 and EV-068
RICO-020,MUNICIPAL CYBER NEGLIGENCE NODE,GOV-001,GOV-001,ASSOCIATED_WITH,Katana Recon Scan,Bidirectional cross-reference between RICO-020 and GOV-001
RICO-020,MUNICIPAL CYBER NEGLIGENCE NODE,GOV-002,GOV-002,ASSOCIATED_WITH,Katana Recon Scan,Bidirectional cross-reference between RICO-020 and GOV-002
RICO-021,IDENTITY TRAFFICKING PPP NODE,EV-069,EV-069,ASSOCIATED_WITH,BigQuery Trafficking Matches,Bidirectional cross-reference between RICO-021 and EV-069
RICO-021,IDENTITY TRAFFICKING PPP NODE,PER-058,PER-058,ASSOCIATED_WITH,BigQuery Trafficking Matches,Bidirectional cross-reference between RICO-021 and PER-058
RICO-021,IDENTITY TRAFFICKING PPP NODE,PER-059,PER-059,ASSOCIATED_WITH,BigQuery Trafficking Matches,Bidirectional cross-reference between RICO-021 and PER-059
TOX-001,HB NAVIGATION CENTER HBNC,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-001 and EV-001
TOX-001,HB NAVIGATION CENTER HBNC,EV-006,EV-006,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-001 and EV-006
TOX-001,HB NAVIGATION CENTER HBNC,EV-012,EV-012,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-001 and EV-012
TOX-001,HB NAVIGATION CENTER HBNC,EV-014,EV-014,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-001 and EV-014
TOX-001,HB NAVIGATION CENTER HBNC,EV-020,EV-020,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-001 and EV-020
TOX-002,HB NAVIGATION CENTER HBNC,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-002 and EV-001
TOX-002,HB NAVIGATION CENTER HBNC,EV-014,EV-014,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-002 and EV-014
TOX-003,HB NAVIGATION CENTER HBNC,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-003 and EV-001
TOX-003,HB NAVIGATION CENTER HBNC,EV-006,EV-006,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-003 and EV-006
TOX-004,HB NAVIGATION CENTER HBNC,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-004 and EV-001
TOX-005,HB NAVIGATION CENTER HBNC,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between TOX-005 and EV-001
